fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,density,pH,sulphates,alcohol,Body_tmp,Vibrancy_tmp,Sweetness,Nuance,Tannicity,Body,Vibrancy
7.8,0.88,0.0,2.6,0.098,0.9968,3.2,0.68,9.8,5.3984000000000005,2.9699999999999998,Semi-Dry,"Complex,Spicy","Balanced,Structured",Medium,Live
7.8,0.76,0.04,2.3,0.092,0.997,3.26,0.65,9.8,5.3985,2.965,Semi-Dry,"Complex,Spicy","Balanced,Structured",Medium,Live
11.2,0.28,0.56,1.9,0.075,0.998,3.16,0.58,9.8,5.399,3.8,Semi-Dry,"Complex,Spicy","Balanced,Structured",Medium,Brilliant
7.4,0.66,0.0,1.8,0.075,0.9978,3.51,0.56,9.4,5.1989,2.8925,Semi-Dry,"Complex,Spicy","Balanced,Structured",Medium,Live
7.9,0.6,0.06,1.6,0.069,0.9964,3.3,0.46,9.4,5.1982,2.965,Dry,"Complex,Spicy",Soft,Medium,Live
7.3,0.65,0.0,1.2,0.065,0.9946,3.39,0.47,10.0,5.4973,2.835,Dry,"Complex,Spicy",Soft,Medium,Live
7.8,0.58,0.02,2.0,0.073,0.9968,3.36,0.57,9.5,5.2484,2.9399999999999995,Semi-Dry,"Complex,Spicy","Balanced,Structured",Medium,Live
6.7,0.58,0.08,1.8,0.097,0.9959,3.28,0.54,9.2,5.09795,2.66,Semi-Dry,"Complex,Spicy","Balanced,Structured",Light,Live
5.6,0.615,0.0,1.6,0.089,0.9943,3.58,0.52,9.9,5.447150000000001,2.44875,Dry,"Complex,Spicy","Balanced,Structured",Medium,Liveliness
7.8,0.61,0.29,1.6,0.114,0.9974,3.26,1.56,9.1,5.0487,2.9899999999999998,Dry,Intense,Robust,Light,Live
8.9,0.62,0.18,3.8,0.176,0.9986,3.16,0.88,9.2,5.0992999999999995,3.215,Sweet,Intense,Robust,Light,Live
8.9,0.62,0.19,3.9,0.17,0.9986,3.17,0.93,9.2,5.0992999999999995,3.2199999999999998,Sweet,Intense,Robust,Light,Live
8.5,0.28,0.56,1.8,0.092,0.9969,3.3,0.75,10.5,5.74845,3.16,Semi-Dry,"Complex,Spicy","Balanced,Structured",Medium,Live
8.1,0.56,0.28,1.7,0.368,0.9968,3.11,1.28,9.3,5.1484000000000005,3.0124999999999997,Dry,Intense,Robust,Medium,Live
7.4,0.59,0.08,4.4,0.086,0.9974,3.38,0.5,9.0,4.9987,2.8625,Sweet,"Complex,Spicy",Soft,Light,Live
7.9,0.32,0.51,1.8,0.341,0.9969,3.04,1.08,9.2,5.09845,2.9425,Semi-Dry,Intense,Robust,Light,Live
8.9,0.22,0.48,1.8,0.077,0.9968,3.39,0.53,9.4,5.1984,3.2475000000000005,Semi-Dry,"Complex,Spicy","Balanced,Structured",Medium,Live
7.6,0.39,0.31,2.3,0.082,0.9982,3.52,0.65,9.7,5.3491,2.9549999999999996,Semi-Dry,"Complex,Spicy","Balanced,Structured",Medium,Live
8.5,0.49,0.11,2.3,0.084,0.9968,3.17,0.53,9.4,5.1984,3.0675,Semi-Dry,"Complex,Spicy","Balanced,Structured",Medium,Live
6.9,0.4,0.14,2.4,0.085,0.9968,3.43,0.63,9.7,5.3484,2.7175000000000002,Semi-Dry,"Complex,Spicy","Balanced,Structured",Medium,Live
6.3,0.39,0.16,1.4,0.08,0.9955,3.34,0.56,9.3,5.14775,2.5475,Dry,"Complex,Spicy","Balanced,Structured",Light,Liveliness
7.6,0.41,0.24,1.8,0.08,0.9962,3.28,0.59,9.5,5.2481,2.8825,Semi-Dry,"Complex,Spicy","Balanced,Structured",Medium,Live
7.1,0.71,0.0,1.9,0.08,0.9972,3.47,0.55,9.4,5.1986,2.82,Semi-Dry,"Complex,Spicy","Balanced,Structured",Medium,Live
7.8,0.645,0.0,2.0,0.082,0.9964,3.38,0.59,9.8,5.3982,2.95625,Semi-Dry,"Complex,Spicy","Balanced,Structured",Medium,Live
6.7,0.675,0.07,2.4,0.089,0.9958,3.35,0.54,10.1,5.5479,2.69875,Semi-Dry,"Complex,Spicy","Balanced,Structured",Medium,Live
6.9,0.685,0.0,2.5,0.105,0.9966,3.46,0.57,10.6,5.7983,2.7612500000000004,Semi-Dry,"Complex,Spicy","Balanced,Structured",Medium,Live
8.3,0.655,0.12,2.3,0.083,0.9966,3.17,0.66,9.8,5.398300000000001,3.06125,Semi-Dry,"Complex,Spicy","Balanced,Structured",Medium,Live
6.9,0.605,0.12,10.7,0.073,0.9993,3.45,0.52,9.4,5.19965,2.7687500000000003,Sweet,"Complex,Spicy","Balanced,Structured",Medium,Live
5.2,0.32,0.25,1.8,0.103,0.9957,3.38,0.55,9.2,5.097849999999999,2.2875,Semi-Dry,"Complex,Spicy","Balanced,Structured",Light,Liveliness
7.8,0.645,0.0,5.5,0.086,0.9986,3.4,0.55,9.6,5.2993,2.96125,Sweet,"Complex,Spicy","Balanced,Structured",Medium,Live
7.8,0.6,0.14,2.4,0.086,0.9975,3.42,0.6,10.8,5.898750000000001,2.99,Semi-Dry,"Complex,Spicy","Balanced,Structured",Medium,Live
8.1,0.38,0.28,2.1,0.066,0.9968,3.23,0.73,9.7,5.3484,2.9975,Semi-Dry,"Complex,Spicy","Balanced,Structured",Medium,Live
5.7,1.13,0.09,1.5,0.172,0.994,3.5,0.48,9.8,5.397,2.605,Dry,Intense,Soft,Medium,Liveliness
8.8,0.61,0.3,2.8,0.088,0.9976,3.26,0.51,9.3,5.1488000000000005,3.2425,Semi-Dry,"Complex,Spicy","Balanced,Structured",Medium,Live
7.5,0.49,0.2,2.6,0.332,0.9968,3.21,0.9,10.5,5.7484,2.8499999999999996,Semi-Dry,Intense,Robust,Medium,Live
8.1,0.66,0.22,2.2,0.069,0.9968,3.3,1.2,10.3,5.6484000000000005,3.0700000000000003,Semi-Dry,"Complex,Spicy",Robust,Medium,Live
6.8,0.67,0.02,1.8,0.05,0.9962,3.48,0.52,9.5,5.2481,2.7424999999999997,Semi-Dry,Simple,"Balanced,Structured",Medium,Live
4.6,0.52,0.15,2.1,0.054,0.9934,3.9,0.56,13.1,7.0466999999999995,2.2925,Semi-Dry,Simple,"Balanced,Structured",Full-Bodied,Liveliness
7.7,0.935,0.43,2.2,0.114,0.997,3.25,0.73,9.2,5.0985,3.07875,Semi-Dry,Intense,"Balanced,Structured",Light,Live
8.7,0.29,0.52,1.6,0.113,0.9969,3.25,0.58,9.5,5.24845,3.1899999999999995,Dry,Intense,"Balanced,Structured",Medium,Live
6.4,0.4,0.23,1.6,0.066,0.9958,3.34,0.56,9.2,5.097899999999999,2.5925000000000002,Dry,"Complex,Spicy","Balanced,Structured",Light,Liveliness
5.6,0.31,0.37,1.4,0.074,0.9954,3.32,0.58,9.2,5.0977,2.4,Dry,"Complex,Spicy","Balanced,Structured",Light,Liveliness
8.8,0.66,0.26,1.7,0.074,0.9971,3.15,0.74,9.2,5.0985499999999995,3.2175000000000002,Dry,"Complex,Spicy","Balanced,Structured",Light,Live
6.6,0.52,0.04,2.2,0.069,0.9956,3.4,0.63,9.4,5.1978,2.6399999999999997,Semi-Dry,"Complex,Spicy","Balanced,Structured",Medium,Liveliness
6.6,0.5,0.04,2.1,0.068,0.9955,3.39,0.64,9.4,5.19775,2.6325,Semi-Dry,"Complex,Spicy","Balanced,Structured",Medium,Liveliness
8.6,0.38,0.36,3.0,0.081,0.997,3.2,0.56,9.4,5.1985,3.135,Semi-Dry,"Complex,Spicy","Balanced,Structured",Medium,Live
