fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,density,pH,sulphates,alcohol,Body_tmp,Vibrancy_tmp,Sweetness,Nuance,Tannicity,Body,Vibrancy
6.2,0.32,0.16,7.0,0.045,0.9949,3.18,0.47,9.6,5.2974499999999995,2.4650000000000003,Semi-Dry,"Complex,Spicy","Balanced,Structured",Medium,Live
8.1,0.22,0.43,1.5,0.044,0.9938,3.22,0.45,11.0,5.9969,2.9925,Semi-Dry,"Complex,Spicy","Balanced,Structured",Medium,Brilliant
8.1,0.27,0.41,1.45,0.033,0.9908,2.99,0.56,12.0,6.4954,2.9425,Semi-Dry,"Complex,Spicy","Balanced,Structured",Medium,Live
8.6,0.23,0.4,4.2,0.035,0.9947,3.14,0.53,9.7,5.34735,3.0925000000000002,Semi-Dry,"Complex,Spicy","Balanced,Structured",Medium,Brilliant
7.9,0.18,0.37,1.2,0.04,0.992,3.18,0.63,10.8,5.896000000000001,2.9074999999999998,Dry,"Complex,Spicy","Balanced,Structured",Medium,Live
6.6,0.16,0.4,1.5,0.044,0.9912,3.54,0.52,12.4,6.6956,2.675,Semi-Dry,"Complex,Spicy","Balanced,Structured",Medium,Live
8.3,0.42,0.62,19.25,0.04,1.0002,2.98,0.67,9.7,5.350099999999999,3.08,Sweet,"Complex,Spicy",Robust,Medium,Brilliant
6.6,0.17,0.38,1.5,0.032,0.9914,3.25,0.55,11.4,6.1957,2.5999999999999996,Semi-Dry,"Complex,Spicy","Balanced,Structured",Medium,Live
6.3,0.48,0.04,1.1,0.046,0.9928,3.24,0.36,9.6,5.2964,2.5149999999999997,Dry,"Complex,Spicy",Soft,Medium,Live
7.4,0.34,0.42,1.1,0.033,0.9917,3.12,0.53,11.3,6.14585,2.8200000000000003,Dry,"Complex,Spicy","Balanced,Structured",Medium,Live
6.5,0.31,0.14,7.5,0.044,0.9955,3.22,0.5,9.5,5.24775,2.5425,Semi-Dry,"Complex,Spicy","Balanced,Structured",Medium,Live
6.4,0.31,0.38,2.9,0.038,0.9912,3.17,0.35,11.0,5.9956,2.565,Semi-Dry,"Complex,Spicy",Soft,Medium,Live
6.8,0.26,0.42,1.7,0.049,0.993,3.47,0.48,10.5,5.7465,2.7375,Semi-Dry,"Complex,Spicy","Balanced,Structured",Medium,Live
7.6,0.67,0.14,1.5,0.074,0.9937,3.05,0.51,9.3,5.146850000000001,2.865,Semi-Dry,Intense,"Balanced,Structured",Medium,Live
6.6,0.27,0.41,1.3,0.052,0.9951,3.42,0.47,10.0,5.49755,2.675,Semi-Dry,"Complex,Spicy","Balanced,Structured",Medium,Live
7.0,0.25,0.32,9.0,0.046,0.9955,3.25,0.5,10.4,5.69775,2.705,Semi-Dry,"Complex,Spicy","Balanced,Structured",Medium,Live
6.9,0.24,0.35,1.0,0.052,0.993,3.45,0.44,10.0,5.4965,2.7350000000000003,Dry,"Complex,Spicy","Balanced,Structured",Medium,Live
7.0,0.28,0.39,8.7,0.051,0.9961,3.38,0.53,10.5,5.74805,2.7625,Semi-Dry,"Complex,Spicy","Balanced,Structured",Medium,Live
7.4,0.27,0.48,1.1,0.047,0.9914,3.19,0.49,11.6,6.2957,2.835,Dry,"Complex,Spicy","Balanced,Structured",Medium,Live
7.2,0.32,0.36,2.0,0.033,0.9906,3.1,0.71,12.3,6.645300000000001,2.745,Semi-Dry,"Complex,Spicy",Robust,Medium,Live
8.5,0.24,0.39,10.4,0.044,0.9974,3.2,0.53,10.0,5.4987,3.0825000000000005,Semi-Dry,"Complex,Spicy","Balanced,Structured",Medium,Brilliant
8.3,0.14,0.34,1.1,0.042,0.9934,3.47,0.4,10.2,5.596699999999999,3.0625000000000004,Dry,"Complex,Spicy","Balanced,Structured",Medium,Brilliant
7.4,0.25,0.36,2.05,0.05,0.992,3.19,0.44,10.8,5.896000000000001,2.8,Semi-Dry,"Complex,Spicy","Balanced,Structured",Medium,Live
6.2,0.12,0.34,1.5,0.045,0.9939,3.42,0.51,9.0,4.99695,2.52,Semi-Dry,"Complex,Spicy","Balanced,Structured",Light,Live
5.8,0.27,0.2,14.95,0.044,0.9962,3.37,0.37,10.2,5.5981,2.41,Sweet,"Complex,Spicy","Balanced,Structured",Medium,Live
